Date,Open,High,Low,Close
2012-05-21,59299999744.0,61075001344.0,46274998272.0,46400000000.0
2012-05-22,45099999232.0,52750000128.0,41250000896.0,49649999872.0
2012-05-23,52400001024.0,55474999296.0,47025000448.0,48025001984.0
2012-05-24,47350001664.0,52524998656.0,46775001088.0,48749998080.0
2012-05-25,48625000448.0,49324998656.0,47250001920.0,47750000640.0
2012-05-29,44949999616.0,46725001216.0,42924998656.0,43124998144.0
2012-05-30,45349998592.0,48924999680.0,45349998592.0,48924999680.0
2012-05-31,49500000256.0,54725001216.0,46675001344.0,50049998848.0
2012-06-01,57625001984.0,59050000384.0,54699999232.0,58674999296.0
2012-06-04,56249999360.0,60224999424.0,53650001920.0,54000001024.0
2012-06-05,55049998336.0,55199997952.0,50674999296.0,51549999104.0
2012-06-06,48299999232.0,49124999168.0,44000002048.0,44124999680.0
2012-06-07,40049999872.0,43649998848.0,39600001024.0,42950000640.0
2012-06-08,43599998976.0,44000002048.0,38324998144.0,38525001728.0
2012-06-11,35575001088.0,44925001728.0,35174998016.0,44624998400.0
2012-06-12,43849998336.0,47025000448.0,42399997952.0,43024998400.0
2012-06-13,45125001216.0,48749998080.0,42650001408.0,47300001792.0
2012-06-14,46675001344.0,48125001728.0,41374998528.0,41574998016.0
2012-06-15,40675000320.0,41849999360.0,36999999488.0,37950001152.0
2012-06-18,37399998464.0,38124998656.0,31549999104.0,31600001024.0
2012-06-19,29300000768.0,31150000128.0,28999999488.0,30225000448.0
2012-06-20,30225000448.0,32500000768.0,27625000960.0,27625000960.0
2012-06-21,27750000640.0,33674999808.0,27050000384.0,33624999936.0
2012-06-22,31175000064.0,32349999104.0,26325000192.0,26724999168.0
2012-06-25,30850000896.0,32249999360.0,30449999872.0,31499999232.0
2012-06-26,29774999552.0,32224999424.0,28949999616.0,29674999808.0
2012-06-27,28849999872.0,30275000320.0,28000000000.0,30200000512.0
2012-06-28,30825000960.0,31950000128.0,28249999360.0,28400001024.0
2012-06-29,25099999232.0,25874999296.0,24399998976.0,24600000512.0
2012-07-02,23625000960.0,24099999744.0,21300000768.0,21375000576.0
2012-07-03,21074999296.0,21099999232.0,19750000640.0,20400001024.0
2012-07-05,20650000384.0,22325000192.0,20650000384.0,21849999360.0
2012-07-06,23050000384.0,23150000128.0,21275000832.0,21450000384.0
2012-07-09,21124999168.0,22125000704.0,20550000640.0,20949999616.0
2012-07-10,20374999040.0,22950000640.0,19750000640.0,22150000640.0
2012-07-11,22050000896.0,22774999040.0,20299999232.0,20650000384.0
2012-07-12,21749999616.0,22674999296.0,20099999744.0,21049999360.0
2012-07-13,20475000832.0,20525000704.0,18749999104.0,18800001024.0
2012-07-16,18624999424.0,19025000448.0,17824999424.0,18250000384.0
2012-07-17,17624999936.0,18649999360.0,16650000384.0,16849999872.0
2012-07-18,17075000320.0,17475000320.0,16325000192.0,17225000960.0
2012-07-19,16999999488.0,17774999552.0,16424999936.0,16424999936.0
2012-07-20,17425000448.0,18474999808.0,16974999552.0,18125000704.0
2012-07-23,21074999296.0,22300000256.0,19850000384.0,20475000832.0
2012-07-24,20550000640.0,23524999168.0,20425000960.0,22150000640.0
2012-07-25,21974999040.0,23600001024.0,20874999808.0,21600000000.0
2012-07-26,18975000576.0,19850000384.0,18275000320.0,18325000192.0
2012-07-27,16750000128.0,17749999616.0,16650000384.0,17250000896.0
2012-07-30,17025000448.0,18050000896.0,16574999552.0,17999998976.0
2012-07-31,18699999232.0,19075000320.0,17949999104.0,18900000768.0
2012-08-01,18250000384.0,19050000384.0,17699999744.0,18175000576.0
2012-08-02,19075000320.0,19474999296.0,17350000640.0,17350000640.0
2012-08-03,16074999808.0,16250000384.0,15025000448.0,15050000384.0
2012-08-06,14549999616.0,14700000256.0,13925000192.0,14300000256.0
2012-08-07,13825000448.0,15075000320.0,13649999872.0,15050000384.0
2012-08-08,14924999680.0,15175000064.0,13749999616.0,13774999552.0
2012-08-09,14000000000.0,14250000384.0,13349999616.0,13649999872.0
2012-08-10,13950000128.0,14124999680.0,13150000128.0,13175000064.0
2012-08-13,13299999744.0,13349999616.0,12449999872.0,12474999808.0
2012-08-14,12650000384.0,13900000256.0,12499999744.0,13850000384.0
2012-08-15,13900000256.0,14049999872.0,13200000000.0,13875000320.0
2012-08-16,13799999488.0,14250000384.0,13299999744.0,13324999680.0
2012-08-17,13050000384.0,13425000448.0,12375000064.0,12574999552.0
2012-08-20,12800000000.0,13224999936.0,12549999616.0,12625000448.0
2012-08-21,12275000320.0,13500000256.0,12174999552.0,13224999936.0
2012-08-22,13699999744.0,14000000000.0,13150000128.0,13450000384.0
2012-08-23,13600000000.0,14375000064.0,13525000192.0,14024999936.0
2012-08-24,14350000128.0,14424999936.0,12675000320.0,12874999808.0
2012-08-27,12675000320.0,13150000128.0,12449999872.0,13100000256.0
2012-08-28,13450000384.0,13624999936.0,13075000320.0,13550000128.0
2012-08-29,13475000320.0,13699999744.0,12949999616.0,13674999808.0
2012-08-30,14275000320.0,14524999680.0,13875000320.0,14250000384.0
2012-08-31,13749999616.0,14400000000.0,13125000192.0,13249999872.0
2012-09-04,13425000448.0,13850000384.0,13025000448.0,13075000320.0
2012-09-05,12974999552.0,13100000256.0,12250000384.0,12375000064.0
2012-09-06,11825000448.0,11875000320.0,9799999488.0,9799999488.0
2012-09-07,9425000448.0,9497499648.0,8652499968.0,8679999488.0
2012-09-10,8984999936.0,9722500096.0,8412499968.0,9657499648.0
2012-09-11,9587500032.0,9834999808.0,9067499520.0,9514999808.0
2012-09-12,9114999808.0,9619999744.0,8855000064.0,8974999552.0
2012-09-13,8990000128.0,9297500160.0,7557499904.0,7674999808.0
2012-09-14,7390000128.0,8300000256.0,7127499776.0,8169999872.0
2012-09-17,8482500096.0,8487499776.0,8024999936.0,8042500096.0
2012-09-18,8142499840.0,8302499840.0,7565000192.0,7627500032.0
2012-09-19,7357499904.0,7682500096.0,7297500160.0,7584999936.0
2012-09-20,7717499904.0,7969999872.0,7424999936.0,7437499904.0
2012-09-21,7447499776.0,7580000256.0,7125000192.0,7314999808.0
2012-09-24,7497500160.0,7569999872.0,7005000192.0,7112500224.0
2012-09-25,6962500096.0,8249999872.0,6960000000.0,8222499840.0
2012-09-26,8529999872.0,9217500160.0,8302499840.0,8842500096.0
2012-09-27,8302499840.0,8575000064.0,7257500160.0,7287499776.0
2012-09-28,7634999808.0,7870000128.0,7274999808.0,7729999872.0
2012-10-01,7357499904.0,7990000128.0,6962500096.0,7887499776.0
2012-10-02,7674999808.0,8120000000.0,7520000000.0,7554999808.0
2012-10-03,7594999808.0,7947500032.0,7325000192.0,7502499840.0
2012-10-04,7387500032.0,7492499968.0,7150000128.0,7160000000.0
2012-10-05,6714999808.0,7132499968.0,6550000128.0,6944999936.0
2012-10-08,7152500224.0,7260000256.0,6975000064.0,7114999808.0
2012-10-09,7137500160.0,7790000128.0,7064999936.0,7704999936.0
2012-10-10,7562500096.0,7900000256.0,7445000192.0,7537500160.0
2012-10-11,7317499904.0,7447499776.0,7132499968.0,7344999936.0
2012-10-12,7107500032.0,7562500096.0,6965000192.0,7447499776.0
2012-10-15,7340000256.0,7652499968.0,6899999744.0,6947500032.0
2012-10-16,6700000256.0,6817500160.0,6554999808.0,6622499840.0
2012-10-17,6620000256.0,6750000128.0,6375000064.0,6449999872.0
2012-10-18,6527499776.0,6609999872.0,6259999744.0,6407499776.0
2012-10-19,6529999872.0,7377500160.0,6514999808.0,7240000000.0
2012-10-22,7194999808.0,7632500224.0,7040000000.0,7059999744.0
2012-10-23,7840000000.0,8354999808.0,7750000128.0,8162500096.0
2012-10-24,7895000064.0,8354999808.0,7842500096.0,8237499904.0
2012-10-25,7664999936.0,8197499904.0,7582499840.0,7775000064.0
2012-10-26,7784999936.0,8167499776.0,7512500224.0,7732499968.0
2012-10-31,7434999808.0,8205000192.0,7405000192.0,8017500160.0
2012-11-01,7874999808.0,7912500224.0,6725000192.0,6725000192.0
2012-11-02,6529999872.0,7110000128.0,6485000192.0,7045000192.0
2012-11-05,7227500032.0,7670000128.0,7139999744.0,7292499968.0
2012-11-06,7175000064.0,7327499776.0,6600000000.0,6750000128.0
2012-11-07,7100000256.0,8024999936.0,7002500096.0,7834999808.0
2012-11-08,7800000000.0,8024999936.0,7424999936.0,7929999872.0
2012-11-09,8089999872.0,8122500096.0,7430000128.0,7925000192.0
2012-11-12,7717499904.0,7732499968.0,6852499968.0,6899999744.0
2012-11-13,7212499968.0,7299999744.0,6562500096.0,6914999808.0
2012-11-14,6535000064.0,7594999808.0,6485000192.0,7352500224.0
2012-11-15,7354999808.0,7982499840.0,7092499968.0,7512500224.0
2012-11-16,7337500160.0,7870000128.0,6805000192.0,6842500096.0
2012-11-19,6335000064.0,6362500096.0,5647499776.0,5660000256.0
2012-11-20,5507500032.0,5695000064.0,5415000064.0,5437499904.0
2012-11-21,5402500096.0,5612499968.0,5230000128.0,5512500224.0
2012-11-23,5260000256.0,5352500224.0,5045000192.0,5049999872.0
2012-11-26,5227500032.0,5292499968.0,4942499840.0,4944999936.0
2012-11-27,4889999872.0,5182499840.0,4805000192.0,5139999744.0
2012-11-28,5337500160.0,5550000128.0,4832500224.0,4867500032.0
2012-11-29,4717499904.0,4950000128.0,4674999808.0,4727499776.0
2012-11-30,4647499776.0,4997499904.0,4645000192.0,4892499968.0
2012-12-03,4652499968.0,5125000192.0,4640000000.0,5089999872.0
2012-12-04,5165000192.0,5420000256.0,5017500160.0,5267500032.0
2012-12-05,5267500032.0,5514999808.0,5034999808.0,5102499840.0
2012-12-06,5082500096.0,5289999872.0,5047499776.0,5200000000.0
2012-12-07,5032500224.0,5274999808.0,4819999744.0,4845000192.0
2012-12-10,4927499776.0,5055000064.0,4864999936.0,4969999872.0
2012-12-11,4837499904.0,4910000128.0,4634999808.0,4634999808.0
2012-12-12,4600000000.0,4887499776.0,4550000128.0,4864999936.0
2012-12-13,4845000192.0,5200000000.0,4792500224.0,5042500096.0
2012-12-14,5092499968.0,5245000192.0,5034999808.0,5114999808.0
2012-12-17,5150000128.0,5162500096.0,4750000128.0,4762500096.0
2012-12-18,4607499776.0,4655000064.0,4335000064.0,4400000000.0
2012-12-19,4392500224.0,4920000000.0,4390000128.0,4907500032.0
2012-12-20,4877499904.0,5205000192.0,4809999872.0,5142499840.0
2012-12-21,5992500224.0,6027500032.0,5647499776.0,5820000256.0
2012-12-24,5657500160.0,5794999808.0,5602500096.0,5637499904.0
2012-12-26,5837499904.0,6287499776.0,5802500096.0,6267500032.0
2012-12-27,6237499904.0,7070000128.0,6104999936.0,6257500160.0
2012-12-28,6662499840.0,6975000064.0,6332499968.0,6885000192.0
2012-12-31,7154999808.0,7299999744.0,5062499840.0,5224999936.0
2013-01-02,4180000000.0,4460000256.0,4004999936.0,4017499904.0
2013-01-03,4024999936.0,4112499968.0,3852499968.0,3982500096.0
2013-01-04,3980000000.0,4017499904.0,3792499968.0,3824999936.0
2013-01-07,3924999936.0,3987500032.0,3787500032.0,3817499904.0
2013-01-08,3777499904.0,3910000128.0,3710000128.0,3740000000.0
2013-01-09,3617499904.0,3815000064.0,3600000000.0,3744999936.0
2013-01-10,3609999872.0,3720000000.0,3555000064.0,3567500032.0
2013-01-11,3575000064.0,3662500096.0,3532499968.0,3540000000.0
2013-01-14,3522500096.0,3580000000.0,3392499968.0,3432499968.0
2013-01-15,3510000128.0,3532499968.0,3360000000.0,3417499904.0
2013-01-16,3367500032.0,3402500096.0,3209999872.0,3280000000.0
2013-01-17,3187500032.0,3315000064.0,3164999936.0,3312499968.0
2013-01-18,3249999872.0,3289999872.0,2860000000.0,2889999872.0
2013-01-22,2895000064.0,3000000000.0,2692499968.0,2717499904.0
2013-01-23,2715000064.0,2735000064.0,2544999936.0,2572499968.0
2013-01-24,2604999936.0,2897499904.0,2524999936.0,2595000064.0
2013-01-25,2615000064.0,2740000000.0,2550000128.0,2640000000.0
2013-01-28,2624999936.0,2847500032.0,2622500096.0,2787500032.0
2013-01-29,2862500096.0,2904999936.0,2575000064.0,2612499968.0
2013-01-30,2740000000.0,2950000128.0,2672499968.0,2947500032.0
2013-01-31,2982500096.0,3020000000.0,2830000128.0,2962500096.0
2013-02-01,2729999872.0,2732499968.0,2587500032.0,2660000000.0
2013-02-04,2820000000.0,3030000128.0,2760000000.0,3024999936.0
2013-02-05,2904999936.0,2922500096.0,2675000064.0,2784999936.0
2013-02-06,2897499904.0,2915000064.0,2752499968.0,2755000064.0
2013-02-07,2680000000.0,2952499968.0,2670000128.0,2729999872.0
2013-02-08,2695000064.0,2702500096.0,2602500096.0,2632499968.0
2013-02-11,2607500032.0,2655000064.0,2515000064.0,2529999872.0
2013-02-12,2529999872.0,2564999936.0,2442500096.0,2480000000.0
2013-02-13,2472499968.0,2595000064.0,2420000000.0,2517499904.0
2013-02-14,2542500096.0,2572499968.0,2409999872.0,2435000064.0
2013-02-15,2387500032.0,2507500032.0,2367500032.0,2400000000.0
2013-02-19,2362500096.0,2364999936.0,2177499904.0,2190000128.0
2013-02-20,2207500032.0,2587500032.0,2200000000.0,2577499904.0
2013-02-21,2560000000.0,2847500032.0,2560000000.0,2657499904.0
2013-02-22,2537499904.0,2637499904.0,2475000064.0,2477499904.0
2013-02-25,2312499968.0,3215000064.0,2249999872.0,3162500096.0
2013-02-26,3077499904.0,3460000000.0,2887500032.0,2997499904.0
2013-02-27,3037499904.0,3100000000.0,2477499904.0,2577499904.0
2013-02-28,2567500032.0,2737499904.0,2482500096.0,2732499968.0
2013-03-01,2982500096.0,3122500096.0,2722500096.0,2815000064.0
2013-03-04,2897499904.0,2924999936.0,2510000128.0,2515000064.0
2013-03-05,2355000064.0,2404999936.0,2324999936.0,2350000128.0
2013-03-06,2292499968.0,2460000000.0,2287500032.0,2367500032.0
2013-03-07,2352499968.0,2395000064.0,2275000064.0,2275000064.0
2013-03-08,2197499904.0,2344999936.0,2187500032.0,2215000064.0
2013-03-11,2209999872.0,2230000128.0,2024999936.0,2032499968.0
2013-03-12,2035000064.0,2215000064.0,2010000000.0,2090000000.0
2013-03-13,2075000064.0,2162500096.0,2037500032.0,2064999936.0
2013-03-14,2015000064.0,2062499968.0,1975000064.0,1992499968.0
2013-03-15,2010000000.0,2075000064.0,1964999936.0,1982499968.0
2013-03-18,2240000000.0,2249999872.0,2020000000.0,2195000064.0
2013-03-19,2097500032.0,2424999936.0,2077500032.0,2195000064.0
2013-03-20,2042499968.0,2084999936.0,1950000000.0,1964999936.0
2013-03-21,2064999936.0,2124999936.0,1967500032.0,2072499968.0
2013-03-22,2000000000.0,2124999936.0,1984999936.0,2060000000.0
2013-03-25,1952499968.0,2124999936.0,1900000000.0,2004999936.0
2013-03-26,1940000000.0,1987500032.0,1880000000.0,1895000064.0
2013-03-27,1992499968.0,2022499968.0,1907500032.0,1935000064.0
2013-03-28,1922499968.0,1957500032.0,1907500032.0,1922499968.0
2013-04-01,1904999936.0,1975000064.0,1890000000.0,1932499968.0
2013-04-02,1877500032.0,1890000000.0,1812499968.0,1812499968.0
2013-04-03,1810000000.0,1977500032.0,1787500032.0,1937500032.0
2013-04-04,1932499968.0,2035000064.0,1875000064.0,1880000000.0
2013-04-05,2087500032.0,2107500032.0,1887500032.0,1892499968.0
2013-04-08,1857500032.0,1912499968.0,1782499968.0,1790000000.0
2013-04-09,1755000064.0,1812499968.0,1702499968.0,1737500032.0
2013-04-10,1700000000.0,1712499968.0,1637500032.0,1642499968.0
2013-04-11,1632499968.0,1657500032.0,1575000064.0,1630000000.0
2013-04-12,1672499968.0,1702499968.0,1564999936.0,1570000000.0
2013-04-15,1592499968.0,2052499968.0,1544999936.0,1937500032.0
2013-04-16,1735000064.0,1804999936.0,1587500032.0,1597500032.0
2013-04-17,1722499968.0,2084999936.0,1720000000.0,1970000000.0
2013-04-18,1960000000.0,2237499904.0,1950000000.0,2140000000.0
2013-04-19,2080000000.0,2107500032.0,1800000000.0,1832499968.0
2013-04-22,1855000064.0,1942499968.0,1724999936.0,1757500032.0
2013-04-23,1644999936.0,1907500032.0,1562499968.0,1572499968.0
2013-04-24,1582499968.0,1615000064.0,1540000000.0,1595000064.0
