Date,Open,High,Low,Close
2023-07-24,94.72,94.72,92.364,93.2
2023-07-25,93.12,93.592,91.28,93.16
2023-07-26,94.28,94.28,90.44,90.68
2023-07-27,89.0,97.24,88.8,95.2
2023-07-28,91.68,94.08,90.548,91.6
2023-07-31,91.12,92.38,90.36,90.4
2023-08-01,92.88,93.72,91.68,91.8
2023-08-02,97.56,102.6,97.2,100.08
2023-08-03,103.6,105.24,98.32,99.76
2023-08-04,96.24,104.02,94.48,103.32
2023-08-07,101.04,101.92,97.688,97.92
2023-08-08,102.096,108.84,99.52,99.64
2023-08-09,98.8,103.0,96.64,98.76
2023-08-10,95.68,102.16,93.44,99.2
2023-08-11,101.04,101.68,95.04,95.32
2023-08-14,96.88,98.36,93.44,93.68
2023-08-15,95.44,100.08,95.12,99.08
2023-08-16,99.16,100.92,96.2,100.68
2023-08-17,99.6,105.56,98.76,105.52
2023-08-18,108.84,109.32,101.964,102.84
2023-08-21,101.8,103.64,99.68,100.12
2023-08-22,98.16,102.36,98.04,100.56
2023-08-23,99.48,99.64,96.92,97.22
2023-08-24,95.88,101.588,95.38,101.2
2023-08-25,99.96,102.4,95.84,96.8
2023-08-28,94.92,95.36,92.88,93.0
2023-08-29,92.76,92.92,89.84,90.68
2023-08-30,89.68,90.48,87.44,87.96
2023-08-31,87.6,87.872,85.56,86.0
2023-09-01,84.68,85.68,83.98,84.84
2023-09-05,85.2,86.56,84.1,85.4
2023-09-06,85.68,88.92,85.4,86.96
2023-09-07,89.84,90.76,86.36,86.84
2023-09-08,86.56,86.6,83.84,85.12
2023-09-11,83.64,84.84,82.76,83.12
2023-09-12,84.0,84.4,82.2,83.72
2023-09-13,83.04,83.272,81.56,82.04
2023-09-14,80.96,81.212,79.52,79.64
2023-09-15,80.148,83.0,79.08,82.72
2023-09-18,83.76,84.36,80.84,82.04
2023-09-19,82.12,84.12,81.16,81.64
2023-09-20,80.32,84.96,79.74,84.72
2023-09-21,88.64,91.52,86.8,91.24
2023-09-22,90.88,91.96,88.2,91.48
2023-09-25,94.12,95.12,91.04,91.6
2023-09-26,93.68,100.64,92.58,100.16
2023-09-27,97.24,101.76,95.84,95.88
2023-09-28,95.96,97.08,90.704,91.48
2023-09-29,88.04,93.44,87.48,93.28
2023-10-02,93.76,95.56,91.0,93.44
2023-10-03,96.04,103.84,94.54,102.24
2023-10-04,100.6,101.98,96.72,97.12
2023-10-05,96.96,101.48,95.72,95.76
2023-10-06,98.84,101.14,92.6,94.56
